IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
107.243.2.135,37.521ms,*,68.854ms,www.wikipedia.org,24-Nov,3,6,NA,NA
172.31.160.1,0.654ms,0.523ms,0.299ms,www.amazon.com,25-Nov,1,1,NA,NA
172.20.10.1,2.466ms,2.197ms,2.154ms,www.amazon.com,25-Nov,2,1,NA,NA
107.243.2.7,36.950ms,*,59.967ms,www.amazon.com,25-Nov,3,1,NA,NA
172.31.160.1,0.625ms,0.308ms,0.406ms,www.amazon.com,25-Nov,1,2,NA,NA
172.20.10.1,3.093ms,3.187ms,2.180ms,www.amazon.com,25-Nov,2,2,NA,NA
107.243.2.7,38.322ms,*,61.132ms,www.amazon.com,25-Nov,3,2,NA,NA
12.127.81.202,90.398ms,58.820ms,42.855ms,www.amazon.com,25-Nov,9,2,7018,"ATT-INTERNET4, US"
172.31.160.1,0.592ms,0.436ms,0.492ms,www.amazon.com,25-Nov,1,3,NA,NA
172.20.10.1,4.064ms,2.821ms,2.316ms,www.amazon.com,25-Nov,2,3,NA,NA
107.243.2.7,43.970ms,*,355.724ms,www.amazon.com,25-Nov,3,3,NA,NA
172.31.160.1,0.657ms,0.435ms,0.534ms,www.amazon.com,25-Nov,1,4,NA,NA
172.20.10.1,2.749ms,2.398ms,2.288ms,www.amazon.com,25-Nov,2,4,NA,NA
107.243.2.7,43.124ms,*,*,www.amazon.com,25-Nov,3,4,NA,NA
172.31.160.1,0.752ms,0.293ms,0.149ms,www.amazon.com,25-Nov,1,5,NA,NA
172.20.10.1,5.560ms,18.651ms,7.756ms,www.amazon.com,25-Nov,2,5,NA,NA
107.243.2.7,38.748ms,*,40.224ms,www.amazon.com,25-Nov,3,5,NA,NA
172.31.160.1,0.183ms,0.099ms,0.114ms,www.amazon.com,25-Nov,1,6,NA,NA
172.20.10.1,1.708ms,1.949ms,1.639ms,www.amazon.com,25-Nov,2,6,NA,NA
107.243.2.7,60.412ms,*,55.778ms,www.amazon.com,25-Nov,3,6,NA,NA
172.31.160.1,0.765ms,0.612ms,0.636ms,www.google.com,25-Nov,1,1,NA,NA
172.20.10.1,3.393ms,2.349ms,2.140ms,www.google.com,25-Nov,2,1,NA,NA
107.243.2.135,42.596ms,*,63.471ms,www.google.com,25-Nov,3,1,NA,NA
142.251.231.246,60.087ms,33.837ms,43.649ms,www.google.com,25-Nov,12,1,15169,"GOOGLE, US"
142.251.60.205,46.272ms,50.911ms,39.630ms,www.google.com,25-Nov,13,1,15169,"GOOGLE, US"
209.85.254.94,47.306ms,43.259ms,52.803ms,www.google.com,25-Nov,14,1,15169,"GOOGLE, US"
142.250.190.100,38.309ms,34.703ms,41.552ms,www.google.com,25-Nov,16,1,15169,"GOOGLE, US"
172.31.160.1,0.482ms,0.438ms,0.468ms,www.google.com,25-Nov,1,2,NA,NA
172.20.10.1,2.618ms,2.281ms,2.091ms,www.google.com,25-Nov,2,2,NA,NA
107.243.2.7,28.738ms,*,27.792ms,www.google.com,25-Nov,3,2,NA,NA
142.251.60.207,102.933ms,148.870ms,41.836ms,www.google.com,25-Nov,13,2,15169,"GOOGLE, US"
142.250.190.100,70.765ms,34.104ms,40.441ms,www.google.com,25-Nov,16,2,15169,"GOOGLE, US"
172.31.160.1,0.455ms,0.230ms,0.254ms,www.google.com,25-Nov,1,3,NA,NA
172.20.10.1,4.264ms,4.083ms,3.490ms,www.google.com,25-Nov,2,3,NA,NA
107.243.2.7,59.429ms,*,29.807ms,www.google.com,25-Nov,3,3,NA,NA
142.250.190.100,54.186ms,58.582ms,36.257ms,www.google.com,25-Nov,14,3,15169,"GOOGLE, US"
